310,9,1
317,8.7,1
312,9.1,1
307,9.24,1
319,6.2,0
295,7.4,1
315,8.88,1
308,8.6,1
318,8.4,1
323,8.4,1
315,7,1
310,9.13,1
304,6.6,1
314,7.3,1
303,6.9,0
300,8.6,1
321,7.6,1
301,9,1
311,9.325,1
307,8.8,1
312,9.54,1
314,8,1
321,8.5,1
322,9.03,1
320,9.27,1
319,7.6,1
314,8.7,1
309,8.9,1
311,7.2,1
309,3.96,0
311,7.6,1
305,6.7,0
310,8.3,1
304,3.1,0
308,7.5,0
324,6.5,0
318,7,0
310,8.8,0
322,7.49,0
316,8.79,1
300,5.7,1
324,8.8,1
316,8.79,1
312,9,1
313,6,1
332,8.8,1
310,7.92,0
312,7.1,1
